GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,Team,0,34,0,0,0,4,0,1,0,1
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,PokemonFactory,6,51,0,0,2,10,0,2,0,2
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,PokedexException,0,4,0,0,0,2,0,1,0,1
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,PokemonMetadataProvider,10,55,3,5,2,12,3,3,0,2
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,Pokedex,26,58,3,5,6,15,5,7,2,6
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,PokemonMetadata,0,33,0,0,0,12,0,6,0,6
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,PokemonTrainerFactory,0,19,0,0,0,3,0,2,0,2
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,PokedexFactory,0,9,0,0,0,2,0,2,0,2
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,PokemonTrainer,0,21,0,0,0,8,0,4,0,4
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,PokemonComparators,54,0,0,0,8,0,3,0,3,0
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,Pokemon,3,35,0,0,1,11,1,5,1,5
